Channel Name,Video URL,Video Title,Video Length (HH:MM:SS),Hours,Minutes,Seconds,Overall Seconds,Video Language,Content Category of the Video,Total No of Video Views,Total No of Video Likes,Likes Per 10000 Views,Total No of Comments,Comment Per 10K Views,No of Channel Subscribers,Video Posted Date,Channel Created Date,Channel Genre,Location of the Content Creator,TotalViewsoftheChannel,Trustworthiness of the Thumbnail (Rating of 1 to 10),Trustworthiness of the Video (Rating of 1 to 10),Does the Video Require Subject Matter Expertise from an Expert ?,Is the Content Creator SME of the topic ?,Trustworthiness from Comments (Trustable or Not),Interns who cleaned data
Times Music,https://www.youtube.com/watch?v=9fJTssABZSY,Raanjhana Ve - Full Audio - Antara Mitra - Soham Naik - Uddipan - Sonu -Latest Hindi Love Songs 2021,0:04:48,0,4,48,288,Punjabi,Entertainment,3105978,32000,103,406,1,10600000,9/13/2021,12/13/2010,Music,Maharashtra,3294729653,10,9,Yes,Yes,Trustable,Ameya Nerkar
Times Music,https://www.youtube.com/watch?v=dRr_eF3YifA,KAKA New Punjabi Song - Mitti De Tibbe (Official Video) | Afsha Khan | Latest Punjabi Songs 2022,0:05:17,0,5,17,317,Punjabi,Entertainment,81458043,1600000,196,29876,4,10600000,7/28/2022,12/13/2010,Music,Maharashtra,3294729653,10,9,Yes,Yes,Trustable,Ameya Nerkar
Times Music,https://www.youtube.com/watch?v=suGE0EITXMg,Cappuccino | Lyrical Video | Niti Taylor | Abhishek Verma | R Naaz | Latest Punjabi Song 2022,0:03:24,0,3,24,204,Punjabi,Entertainment,7456,268,359,13,17,10600000,10/1/2022,12/13/2010,Music,Maharashtra,3294729653,10,9,Yes,Yes,Trustable,Ameya Nerkar
Times Music,https://www.youtube.com/watch?v=PhLkP0axmd8,Rumor | Full Audio | Chet Singh | Arshiya Makkar | Prabh Bains | Latest Punjabi Songs 2022,0:02:54,0,2,54,174,Punjabi,Entertainment,5835,250,428,11,19,10600000,10/13/2022,12/13/2010,Music,Maharashtra,3294729653,10,9,Yes,Yes,Trustable,Ameya Nerkar
Times Music,https://www.youtube.com/watch?v=qjdaO-5pIps,Mundri | Lyrical Video | Teri Meri Gal Ban Gayi | Akhil | Rubina | Master Saleem | Gulrez Akhtar,0:03:14,0,3,14,194,Punjabi,Entertainment,4263,220,516,26,61,10600000,10/18/2022,12/13/2010,Music,Maharashtra,3294729653,10,9,Yes,Yes,Trustable,Ameya Nerkar
TK TV,https://www.youtube.com/watch?v=BzPQULOUjeM,Angry Cricket Fans Burn The Stadium - Throw Fire Crakers and Bottles,0:06:26,0,6,26,386,English,Health,5114358,13000,25,702,1,441000,10/21/2017,3/8/2016,News,Not Available,126387537,4,8,Yes,Not Required,Not Trustable,roshan kumar sinha
Torq4712,https://www.youtube.com/watch?v=_55VfbtYEsY,Decision Making Skills | Torq Calls #80,0:14:48,0,14,48,888,Hindi,Employment,3873,147,380,24,62,222000,10/12/2022,8/28/2014,Motivation,Not Available,26033469,6,8,No,Not Required,Trustable,Sagar Mali
Total Gaming,https://www.youtube.com/watch?v=clJrG6xzHdw,Ajjubhai vs Amitbhai,0:21:31,0,21,31,"1,291",Hindi,Entertainment,37467373,2600000,694,200000,53,33700000,6/25/2020,10/9/2018,Entertainment,Not Available,6057852950,8,8,No,Not Required,Trustable,Sachin Gautam
Total Gaming,https://www.youtube.com/watch?v=RfVmAGcyb48,Ajjubhai Vs Amitbhai desi gamers best collection who will win - Garena Free Fire,0:22:39,0,22,39,"1,359",Hindi,Entertainment,18544507,1200000,647,25000,13,3370000,3/31/2021,10/9/2018,Entertainment,Not Available,6053249091,6,6,Yes,Yes,Trustable,Praneeth kodam
Total Gaming,https://www.youtube.com/watch?v=LccRdZI1jic,Four 86 level ke pro vs ajjubhai,0:22:02,0,22,2,"1,322",Hindi,Entertainment,1212744,130000,1072,15000,124,33700000,10/7/2022,10/9/2018,Entertainment,Not Available,6057852950,8,8,No,Not Required,Trustable,Sachin Gautam
