Channel Name,Video URL,Video Title,Video Length (HH:MM:SS),Hours,Minutes,Seconds,Overall Seconds,Video Language,Content Category of the Video,Total No of Video Views,Total No of Video Likes,Likes Per 10000 Views,Total No of Comments,Comment Per 10K Views,No of Channel Subscribers,Video Posted Date,Channel Created Date,Channel Genre,Location of the Content Creator,TotalViewsoftheChannel,Trustworthiness of the Thumbnail (Rating of 1 to 10),Trustworthiness of the Video (Rating of 1 to 10),Does the Video Require Subject Matter Expertise from an Expert ?,Is the Content Creator SME of the topic ?,Trustworthiness from Comments (Trustable or Not),Interns who cleaned data
Kirana'S Kitchen,https://www.youtube.com/watch?v=ZKT8YiiYNak,No sauce no cornflour gobi munchurian|Gobi munchurian recipe in kannada|Cabbage munchurian recipe,0:08:24,0,8,24,504,Kannada,Cooking,323266,36000,1114,180,6,387000,5/27/2021,3/10/2021,Cooking,Karnataka,411876,10,10,No,Not Required,Trustable,Lydia
KirtiChow,https://www.youtube.com/watch?v=wmdlR9fk3O0,Getting into a new school experience,0:04:34,0,4,34,274,Hindi,Entertainment,1244248,80000,643,9900,80,906000,11/10/2018,2/4/2018,Educational,Not Available,78912475,5,6,Yes,Yes,Trustable,Praneeth kodam
Knowledge Seekers,https://www.youtube.com/watch?v=n_80Mids1Tw,Top 10 MBA Colleges in Pune 2021 | Best Mba colleges in Pune 2021,0:15:49,0,15,49,949,Hindi,Review,19951,310,155,23,12,55700,11/17/2021,10/10/2015,Review,Not Available,7862105,7,6,Yes,Yes,Not Trustable,Sagar Mali
Knowledge Seekers,https://www.youtube.com/watch?v=yfuFGYBTVOI,IIM Nagpur Campus | IIM Nagpur Mihan Campus Tour and Facilities,0:06:06,0,6,6,366,Hindi,Review,11083,256,231,22,20,55700,5/14/2022,10/10/2015,Review,Not Available,7862105,6,5,Yes,Yes,Not Trustable,Sagar Mali
Komal Pandey,https://www.youtube.com/watch?v=GoU0jdK5rqc,How I LOST Weight! | Komal Pandey,0:10:46,0,10,46,646,Hindi,Vlog,4189745,121000,289,4933,12,1250000,6/21/2018,8/27/2017,Vlog,Delhi,177222690,8,8,No,Not Required,Not Trustable,Utsav Tiwary
Komal Pandey,https://www.youtube.com/watch?v=d5On5gkBDRI,How To Look Sexy Without Wearing Short Clothes! | Komal Pandey,0:03:28,0,3,28,208,English,Health,5225967,106000,203,2430,5,1250000,3/18/2018,8/27/2017,Lifestyle,Delhi,177222690,10,10,No,Not Required,Trustable,Himanshi
Komal Pandey,https://www.youtube.com/watch?v=1d4-PE6qA7s,Its normal to show too much skin,0:01:00,0,1,0,60,Hindi,Lifestyle,807026,28000,347,4500,56,1250000,9/14/2020,8/27/2017,Lifestyle,Delhi,177222690,3,4,No,Not Required,Not Trustable,Sachin Gautam
Komal Pandey,https://www.youtube.com/watch?v=vpBoBF63YHc,"Oops, I wore summer dresses in winter & didn't feel cold",0:02:08,0,2,8,128,Hindi,Lifestyle,3489422,15000,43,1600,5,1250000,1/18/2021,8/27/2017,Lifestyle,Delhi,177222690,4,4,No,Not Required,Not Trustable,Sachin Gautam
Komal Pandey,https://www.youtube.com/watch?v=MpqJgJe_RhA,1 Sweatshirt in 6 ways,0:02:51,0,2,51,171,Hindi,Lifestyle,171081,10000,585,589,34,1250000,3/14/2021,8/27/2017,Lifestyle,Delhi,177222690,5,4,No,Not Required,Not Trustable,Sachin Gautam
Komal Pandey,https://www.youtube.com/watch?v=okRXz5MdtME,5 Colour block outfits that will help you block bad vibes,0:01:14,0,1,14,74,Hindi,Lifestyle,342903,9100,265,963,28,1250000,3/20/2021,8/27/2017,Lifestyle,Delhi,177222690,4,5,No,Not Required,Not Trustable,Sachin Gautam
Komal Pandey,https://www.youtube.com/watch?v=HkgEDEB9h4k,Recipe to not look boring in white t-shirt and jeans,0:07:32,0,7,32,452,Hindi,Lifestyle,426765,19000,445,1000,23,1250000,3/26/2021,8/27/2017,Lifestyle,Delhi,177222690,4,5,No,Not Required,Not Trustable,Sachin Gautam
Konversations By Inside IIM,https://www.youtube.com/watch?v=TkZT0mW7dKs,"I Did An MBA, Kyunki Job Chahiye Thi | Ft. Mihir M | Ex McKinsey | Piramal | NMIMS Alum",0:23:24,0,23,24,"1,404",English,Employment,14116,396,281,28,20,321000,10/10/2022,1/2/2012,Lifestyle,Not Available,35234305,6,7,Yes,Yes,Trustable,Sagar Mali
Koo Koo Tv - Telugu,https://www.youtube.com/watch?v=29oRt6d4IXs,???? ???? ??????? ????? | Telugu Stories | Telugu Kathalu | Stories in Telugu | Moral Stories,0:10:19,0,10,19,619,Telugu,Entertainment,8433,228,270,8,9,2320000,10/16/2022,12/15/2017,Entertainment,Andhra Pradesh,1158670738,9,8,No,Not Required,Trustable,Lydia
Kreative Ladka,https://www.youtube.com/watch?v=RU12rbDqCqM,The quiet kid,0:09:13,0,9,13,553,Hindi,Entertainment,991565,74000,746,2300,23,161000,4/12/2022,4/17/2018,Educational,Not Available,13674499,7,5,Yes,Yes,Trustable,Praneeth kodam
Krish Naik,https://www.youtube.com/watch?v=k2P_pHQDlp0,AI VS ML VS DL VS Data Science,0:09:44,0,9,44,584,English,Educational,2356603,57000,242,1572,7,666000,11/26/2019,11/2/2012,Educational,Karnataka,63107057,10,10,No,Not Required,Trustable,Himanshi
Krish Naik,https://www.youtube.com/watch?v=lzP14izI4lQ,RoadMap With Minimal Skills To Become Data Analyst In 2022,0:11:35,0,11,35,695,English,Lifestyle,404349,7300,181,780,19,666000,1/6/2022,2/11/2012,Tech,Karnataka,63021132,10,10,Yes,Yes,Trustable,roshan kumar sinha
Kritika Goel,https://www.youtube.com/watch?v=iQeeqEeAK08,How I Became a TRAVEL VLOGGER | Make Money Even if You're Just Starting Out as a YouTuber!,0:17:31,0,17,31,"1,051",Tamil,Vlog,355616,14000,394,867,24,432000,12/15/2020,5/12/2007,Vlog,Not Available,42506400,6,6,No,Not Required,Trustable,Mohamad Moosa
Kritika Goel,https://www.youtube.com/watch?v=ryB764h7ivA,Laksadweep travel vlog,0:15:12,0,15,12,912,English,Lifestyle,932162,15000,161,866,9,432000,10/29/2021,5/12/2007,Vlog,Not Available,42424751,7,8,Yes,Yes,Trustable,Praneeth kodam
Kunal k vlogs,https://www.youtube.com/watch?v=FYqd567qgno,Manali Tourist Places & Manali Tour Budget | A-Z Plan | Manali Travel Guide | Himachal Pradesh,0:26:14,0,26,14,"1,574",Hindi,Entertainment,262782,6800,259,777,30,24400,6/14/2022,4/27/2021,Entertainment,Not Available,4306222,7,7,No,Not Required,Not Trustable,Manya Tyagi
Kunal Kushwaha,https://www.youtube.com/watch?v=BjIxwyJDbC4,Do You Need Visa for Working Remotely?,0:05:50,0,5,50,350,English,Educational,5164,515,997,65,126,304000,10/16/2022,5/10/2020,Educational,Not Available,14742307,6,4,Yes,Yes,Trustable,Sagar Mali
Kusha Kapila,https://www.youtube.com/watch?v=TUtSrob2ANQ,Why Saif Ali Khan is not on Social media,0:08:26,0,8,26,506,English,Employment,342334,9400,275,304,9,415000,5/28/2022,10/7/2011,Employment,Delhi,65898746,9,9,Yes,Yes,Trustable,roshan kumar sinha
Kutty Lp Studio,https://www.youtube.com/watch?v=7nq3fy7Vx38,Tamil Latest surer Hit Melody songs ,0:38:27,0,38,27,"2,307",Tamil,Music,1519707,10000,66,122,1,100000,7/17/2022,11/10/2018,Music,Tamil Nadu,20138652,10,10,No,Not Required,Trustable,Lydia
Labour Law Advisor,https://www.youtube.com/watch?v=00DRsxH-im8,"STOP calling this Trading - Biggest ""Legal"" SCAM",0:09:00,0,9,0,540,Hindi,Educational,1472395,107000,727,11748,80,3610000,9/11/2022,8/12/2017,Lifestyle,Rajasthan ,671909430,8,9,Yes,Yes,Trustable,roshan kumar sinha
LeapScholar - Study Abroad Expert ,https://www.youtube.com/watch?v=DX283suhaFM,Most Affordable Countries to Study Abroad | Budget Friendly | Free Education,0:06:52,0,6,52,412,English,Educational,221298,6500,294,442,20,190000,12/22/2020,6/23/2020,Lifestyle,Karnataka,22461223,10,10,Yes,Yes,Trustable,Ameya Nerkar
LeapScholar - Study Abroad Expert ,https://www.youtube.com/watch?v=QBgGSX2tQig,Where to Study Abroad For FREE in 2022 | Leap Scholar,0:06:04,0,6,4,364,English,Educational,47375,1500,317,164,35,190000,12/19/2021,6/23/2020,Lifestyle,Karnataka,22461223,10,10,Yes,Yes,Trustable,Ameya Nerkar
LeapScholar - Study Abroad Expert ,https://www.youtube.com/watch?v=9JHaPCoMBI4,Top Courses in Australia for PR | Expert Hour by LeapScholar,1:00:49,1,0,49,"3,649",English,Educational,917,32,349,2,22,190000,4/10/2022,6/23/2020,Lifestyle,Karnataka,22461223,10,10,Yes,Yes,Trustable,Ameya Nerkar
LeapScholar - Study Abroad Expert ,https://www.youtube.com/watch?v=D-k83V6btSc,Education Counsellor Kiran Mahajan is searching for her jersey | LeapScholar,0:00:49,0,0,49,49,English,Educational,1182411,42,0,58,0,190000,8/19/2022,6/23/2020,Lifestyle,Karnataka,22461223,10,10,Yes,Yes,Trustable,Ameya Nerkar
LeapScholar - Study Abroad Expert ,https://www.youtube.com/watch?v=wRAZN-Ltuz8,A Day in Deakin University Melbourne | Leap Scholar ft. @Tushar Bareja,0:02:30,0,2,30,150,English,Educational,16711,576,345,27,16,190000,8/27/2022,6/23/2020,Lifestyle,Karnataka,22461223,10,10,Yes,Yes,Trustable,Ameya Nerkar
Learn More,https://www.youtube.com/watch?v=q85n1RQBjno,Excel Tutorial for Beginners in Hindi - Complete Microsoft Excel tutorial in Hindi for Excel users,1:59:21,1,59,21,"7,161",Hindi,Educational,11658235,320000,274,5578,5,1660000,1/9/2022,12/12/2016,Educational,Not Available,79777058,8,8,Yes,Yes,Trustable,Manya Tyagi
Learn More,https://www.youtube.com/watch?v=edpXYvd-_pQ,"???? ?? ???? ??, ?? ???? ?? ??? ?? ???? ???? ??????? | Excel tips in hindi 2022",0:29:25,0,29,25,"1,765",Hindi,Educational,58142,1900,327,109,19,1067000,2/16/2022,12/12/2016,Educational,Not Available,80811682,7,8,No,Not Required,Trustable,Mahesh
Learn More,https://www.youtube.com/watch?v=Nwh4dijvP1Q&t=15s,How to copy data from Word to Excel?,0:11:11,0,11,11,671,Hindi,Educational,116271,4300,370,161,14,1067000,8/4/2022,12/12/2016,Educational,Not Available,80811682,10,9,No,Not Required,Trustable,Mahesh
Learn With Lokesh Lalwani,https://www.youtube.com/watch?v=wX98gCjembg,Best Job Opportunity for 2022 | Enter New Year with Money | Lokesh Lalwani,0:09:57,0,9,57,597,Hindi,Educational,8809,413,469,38,43,286000,12/25/2021,12/20/2018,Educational,Not Available,10720798,4,5,No,Not Required,Trustable,Srikrishna
Learn With Lokesh Lalwani,https://www.youtube.com/watch?v=2HpiSeDMShM,Excel trick to earn rs 1600 in just one hour,0:16:39,0,16,39,999,Hindi,Educational,300843,22000,731,518,17,287000,9/23/2022,11/20/2018,Vlog,Not Available,10720798,6,7,Yes,Yes,Trustable,Praneeth kodam
Learn With Lokesh Lalwani,https://www.youtube.com/watch?v=33NKOIw9Zj8,IT Job No Coding - No Experience | 100% placement Guaranteed | Package 6 LPA,0:14:11,0,14,11,851,Hindi,Employment,155900,6000,385,278,18,287000,10/16/2022,11/20/2018,Employment,Not Available,10720798,7,6,Yes,Yes,Trustable,Sagar Mali
Learnohub,https://www.youtube.com/watch?v=wYU8_VFDHbk,Oscillations Class 11 Physics ,0:34:58,0,34,58,"2,098",Hindi,Educational,1781,54,303,7,39,2340000,10/13/2022,7/14/2011,Educational,Not Available,465988494,8,8,Yes,Yes,Trustable,Jayita Mali
Leila Gharani,https://www.youtube.com/watch?v=UsdedFoTA68,Excel Pivot tables in 10 mins,13:21:00,13,21,0,"48,060",English,Educational,2528230,39,0,1173,5,1980000,6/18/2020,7/11/2015,Educational,Not Available,167325107,7,10,Yes,Yes,Trustable,Diya Kalra
Lesics,https://www.youtube.com/watch?v=Iyzpt3bKTTI,Understanding Modulation! | ICT #7,0:07:25,0,7,25,445,English,Educational,270279,8200,303,217,8,5900000,7/28/2019,12/4/2012,Educational,Not Available,817968652,7,8,Yes,Yes,Trustable,Srikrishna
Lesics,https://www.youtube.com/watch?v=i0xM23WfIQU,Nuclear fuel and Energy | Understanding them Logically,0:07:28,0,7,28,448,English,Educational,108939,4800,441,259,24,5900000,9/27/2022,12/4/2012,Educational,Not Available,818145582,8,8,Yes,Yes,Trustable,Jayita Mali
Lisa Mishra,https://www.youtube.com/watch?v=8OKnt_AOoQs,"Kabira - Yeh Jawaani Hai Deewani, Arijit Singh (Cover by Lisa Mishra)",0:03:32,0,3,32,212,Hindi,Entertainment,4529040,166000,367,7437,16,305000,12/19/2014,7/28/2007,Music,Odisha,20956050,10,10,Yes,Yes,Trustable,roshan kumar sinha
LIV Comedy,https://www.youtube.com/watch?v=jzybbE9Xfx4,"The Kapil Sharma Show Season 
",0:45:00,0,45,0,"2,700",Hindi,Entertainment,146097,50,3,6,0,7170000,10/1/2022,2/10/2020,Entertainment,Not Available,3879723890,10,10,No,Not Required,Trustable,Vaishnavi
Live Insaan,https://www.youtube.com/watch?v=ojryauzoz90,She Was Behind Me All The Time,0:18:54,0,18,54,"1,134",Hindi,Entertainment,818524,74000,904,3104,38,9580000,10/14/2022,11/11/2017,Entertainment,Delhi,1764833851,7,9,No,Yes,Trustable,Manas Ramuka
Logic First Tamil,https://www.youtube.com/watch?v=r5IyLq2k2Ps,SQL Beginner Full Course in Tamil | Logic First Tamil,3:06:55,3,6,55,"11,215",Tamil,Educational,122121,29000,2375,214,18,7910000,3/19/2022,10/24/2019,Employment,Tamil Nadu,4394444,10,9,No,Not Required,Trustable,Lydia
Lokesh Lalwani,https://www.youtube.com/watch?v=dsq818YAS8o,Excel Tricks To earn 800 rs. in 15 minutes,0:16:44,0,16,44,"1,004",Hindi,Educational,98075,5200,530,391,40,2250000,9/14/2022,10/24/2012,Educational,Not Available,9169093,8,8,Yes,Yes,Trustable,Manya Tyagi
Love Babbar,https://www.youtube.com/watch?v=H6fmjYndR_E,A Day in The Life of A Software Engineer In Hyderabad!,13:14:00,13,14,0,"47,640",Hindi,Educational,97400,5966,613,322,33,461000,7/31/2022,8/25/2016,Lifestyle,Andhra Pradesh,31567994,10,10,No,Not Required,Trustable,Sai Prateek
m4tech,https://www.youtube.com/watch?v=oTMZdHfM8Ok,Boat making with 10000 Plastic bottles ,0:11:52,0,11,52,712,Malayalam,Lifestyle,2034161,113000,556,2400,12,8240000,5/22/2022,4/16/2017,Educational,KERALA,1784960824,8,8,No,Not Required,Trustable,Mohamad Moosa
Mable Aarthi,https://www.youtube.com/watch?v=ts5LK935S1Q,"Maybelline Fit Me foundation 330 Toffee Caramel, 335 Classic Tan & 340 Cappucino COMPARISON ???????",0:09:39,0,9,39,579,Tamil,Lifestyle,1130155,14000,124,480,4,742000,2/18/2021,9/7/2014,Lifestyle,Tamil Nadu,28441605,9,9,No,Not Required,Trustable,Lydia
Madam Anthe,https://www.youtube.com/watch?v=Aq44p7Gi_3Q,Street food ,0:24:42,0,24,42,"1,482",Telugu,Cooking,2773241,34000,123,919,3,575000,8/2/2022,7/31/2020,Vlog,Not Available,195984263,6,7,Yes,Yes,Trustable,Praneeth kodam
Madan Gowri,https://www.youtube.com/watch?v=U-Z-M-J5DRE,Rajendra Chola - Greatest Tamil King | Madan Gowri | MG,0:12:53,0,12,53,773,Tamil,Vlog,80885,9600,1187,774,96,645000000,10/5/2022,12/5/2013,News,Tamil Nadu,1371625095,7,7,Yes,Not Required,Not Trustable,Imran Khan
Made By Mona,https://www.youtube.com/watch?v=lXQSuB44dVA,"Oil control,High Definition Makeup with Affordable Products??Semi Traditional Glam Makeup-Tamil",0:14:26,0,14,26,866,Tamil,Lifestyle,19071,763,400,195,102,367000,10/10/2022,3/4/2017,Lifestyle,Tamil Nadu,56902094,9,9,No,Not Required,Trustable,Lydia
Madhur Sharma,https://www.youtube.com/watch?v=0DnXOdHRJ5s,Kehna Galat Galat x Halka Halka Suroor (Lyrical Video),0:08:07,0,8,7,487,Hindi,Music,67825,2300,339,126,19,443000,9/17/2022,6/4/2013,Music,Not Available,89972153,7,8,No,Not Required,Trustable,Subha Ranjan Patra
Magicbox Tamil Stories,https://www.youtube.com/watch?v=aX2soyxXweo,Birth of Krishna ( ??????????? ??????? ) | Sri Krishna Tamil Stories,0:10:15,0,10,15,615,Tamil,Entertainment,8718945,39000,45,0,0,2290000,4/18/2012,1/21/2012,Entertainment,Tamil Nadu,783234668,10,10,No,Not Required,Trustable,Lydia
Mahathalli,https://www.youtube.com/watch?v=OyXxN3d684A,How we eat - home v/s office,0:12:11,0,12,11,731,Telugu,Entertainment,5900829,73000,124,3400,6,1920000,5/11/2020,3/11/2016,Entertainment,Not Available,593004862,8,9,Yes,Yes,Trustable,Praneeth kodam
Mahatmaji Technical ,https://www.youtube.com/watch?v=jFs2w9QmDVg,What To Do After 12th Commerce With And Without Maths In 2021 || ,0:16:39,0,16,39,999,Hindi,Educational,445046,18000,404,768,17,6690000,6/3/2021,10/22/2016,Educational,Not Available,396254401,8,8,Yes,Yes,Trustable,Manya Tyagi
Mahendra's,https://www.youtube.com/watch?v=KLP6lOn-7Wk,UPSSSC PET Paper Analysis,1:48:45,1,48,45,"6,525",Hindi,Educational,2617,102,390,0,0,4270000,10/16/2022,6/13/2014,Educational,Not Available,476755436,9,9,Yes,Yes,Trustable,Jayita Mali
Mahesh Studies,https://www.youtube.com/watch?v=tTeJ-1zUVeM,Geography online classes,0:33:30,0,33,30,"2,010",Telugu,Educational,25255,0,0,0,0,121000,6/24/2020,1/2/2019,Educational,Not Available,6976766,5,5,Yes,Yes,Trustable,Praneeth kodam
Mahishivan,https://www.youtube.com/watch?v=TwzXj4Tq6_g,Revenge prank to shiva ,0:22:25,0,22,25,"1,345",Telugu,Entertainment,891902,24000,269,516,6,459000,9/8/2022,7/26/2021,Entertainment,Not Available,104515512,7,8,Yes,Yes,Trustable,Praneeth kodam
Malayalam Stories World,https://www.youtube.com/watch?v=t5L58DUNqoo,???? ?????? ????? ??????????? | Stories in Malayalam | Malayalam Stories | Moral Stories,0:07:29,0,7,29,449,Malayalam,Entertainment,12506,170,136,2,2,108000,10/15/2022,7/27/2021,Entertainment,Kerala,26815191,10,10,No,Not Required,Trustable,Lydia
Malvika Sitlani,https://www.youtube.com/watch?v=qTCMBxYk3bA,Underwater in MALDIVES! | Part 2 | Malvika Sitlani,0:26:50,0,26,50,"1,610",English,Lifestyle,876616,24000,274,720,8,759000,12/14/2020,11/7/2011,Lifestyle,Not Available,114658222,8,7,No,Not Required,Trustable,Diya Kalra
Mana Dunia,https://www.youtube.com/watch?v=tKMR40381iM,Next level prank on biggBoss contestant maanas & actress tejaswini,0:18:24,0,18,24,"1,104",Telugu,Entertainment,2667864,60000,225,1000,4,206000,2/16/2020,8/21/2018,Entertainment,Not Available,25952393,7,7,Yes,Yes,Trustable,Praneeth kodam
Manhar Seth,https://www.youtube.com/watch?v=JnuktFAgTKo,Manhar Seth - Everything happens for a Reason,0:04:29,0,4,29,269,Hindi,Entertainment,662295,50000,755,776,12,98800,8/2/2022,12/23/2015,Entertainment,Delhi,5709546,10,10,Yes,Yes,Trustable,roshan kumar sinha
Manish Malhotra,https://www.youtube.com/watch?v=Yt7z0kMGeug&t=96s,The Manish Malhotra Mijwan Couture Fashion Show 2022,0:11:47,0,11,47,707,Hindi,Lifestyle,167639,1600,95,69,4,160000,8/8/2022,7/3/2013,Employment,Not Available,25905771,7,10,No,Not Required,Trustable,Vaishnavi
Manmay Dey,https://www.youtube.com/watch?v=mud7Ir-f1hw&t=183s,mishra weds marandi,0:30:22,0,30,22,"1,822",Odia,Entertainment,1044945,55000,526,3931,38,595000,9/28/2022,3/9/2019,Entertainment,Not Available,103127191,7,7,No,Not Required,Trustable,Subha Ranjan Patra
Manmeet.singh,https://www.youtube.com/watch?v=cqp6do5_iok,Bhangra Bhangra Bhangra | Bow Valley College | Downtown Calgary | International Students,0:05:23,0,5,23,323,Punjabi,Entertainment,1658521,33000,199,398,2,12300,7/31/2019,3/16/2018,Entertainment,Punjab,3123446,10,10,No,Not Required,Trustable,Himanshi
Manoj Dey,https://www.youtube.com/watch?v=3k5sx7ZlNLg,Youtube Video Upload Karne Ka Sahi Tarika || How To Upload Video On Youtube ?,0:04:31,0,4,31,271,Hindi,Educational,10281563,370000,360,19253,19,3430000,9/17/2019,11/24/2016,Educational,Jharkhand,381713878,6,6,No,Not Required,Trustable,Utsav Tiwary
Manoj Dey,https://www.youtube.com/watch?v=Nlbc47WyFGQ,Youtube Monetization Big Update | Ab 4000 Hrs,0:06:46,0,6,46,406,Hindi,Lifestyle,1170851,113000,965,17656,151,3440000,9/20/2022,11/24/2016,Lifestyle,Not Available,383071593,9,9,No,Not Required,Trustable,Mohamad Moosa
Manoj Saru,https://www.youtube.com/watch?v=hIuY3Q8F58Q,Fun Unboxing,0:00:59,0,0,59,59,Hindi,Entertainment,36645999,2000000,546,2817,1,4930000,1/11/2022,10/8/2018,Educational,Delhi,1080416820,7,7,No,Not Required,Not Trustable,Utsav Tiwary
MasterChef Pankaj Bhadouria,https://www.youtube.com/watch?v=TIyevS0BT9E,Mumbai Style Tawa Pulao Recipe I Street Food ,0:12:28,0,12,28,748,Hindi,Cooking,568644,781,14,59,1,1190000,10/9/2022,5/5/2011,Cooking,Not Available,155042757,9,10,No,Not Required,Trustable,Vaishnavi
Mausam Nagpal,https://www.youtube.com/watch?v=URd9vEg7Eys,"Apple Recruitment 2022 | Apple Jobs In India | Jobs For 12th Pass | Salary Upto ?40,000 | Latest Job",0:07:44,0,7,44,464,Hindi,Employment,9043,643,711,125,138,176000,10/16/2022,12/12/2012,Employment,Not Available,12489161,7,10,No,Not Required,Trustable,Vaishnavi
MBA Karlo,https://www.youtube.com/watch?v=X_LuvKLHrqQ,"JBIMS MSc Finance 2022 Forms are Out - Admission, Cut-off, Salary | JBIMS Mumbai | MBA Karlo",0:04:42,0,4,42,282,Hindi,Review,2187,33,151,11,50,2440,10/14/2022,9/7/2021,Motivation,Not Available,221768,6,6,Yes,Yes,Not Trustable,Sagar Mali
MBA Pathshala,https://www.youtube.com/watch?v=5u1JU9ouPSI,Linear Equations | P-I | Basic to Advanced | CAT XAT IIFT | Udit Saini | | Quantitative Aptitude |,1:17:06,1,17,6,"4,626",Hindi,Educational,5190,420,809,34,66,19000,9/28/2022,1/30/2018,Educational,Not Available,1250064,6,6,Yes,Yes,Trustable,Diya Kalra
Medtalks,https://www.youtube.com/watch?v=zCbJ1LK6gkU,Understanding and Differentiating! NAFLD and NASH,0:03:42,0,3,42,222,English,Health,152,7,461,1,66,299000,10/15/2022,4/24/2017,Health,Not Available,59362052,6,6,Yes,Yes,Trustable,Jayita Mali
MEE Puch Puch,https://www.youtube.com/watch?v=BRT2SAsAv7Y,Tumhe bolna pasand hai by MEE PUCH PUCH ??Tumhe hasna pasand hai,0:02:49,0,2,49,169,Odia,Entertainment,29786,3100,1041,83,28,197000,10/16/2022,5/17/2020,Entertainment,Not Available,41210130,5,5,Yes,Not Required,Not Trustable,Subha Ranjan Patra
Megha Johari,https://www.youtube.com/watch?v=RrDs86ay18U,"Homecenter, Ajio, Nestasia Haul  Home Decor & Kitchen Serveware Living Alone In India",0:12:14,0,12,14,734,Hindi,Lifestyle,12466,219,176,43,34,3000,10/12/2022,8/13/2022,News,Not Available,858953,6,7,No,Not Required,Trustable,Subha Ranjan Patra
Meghamalhar,https://www.youtube.com/watch?v=2aMHLEKQ1Do,Malayalam New Love Songs???| #malayalamsongs #lovesong #hitsongs #newsongs #pranayam #nonstopsong,0:41:02,0,41,2,"2,462",Malayalam,Music,1614266,17000,105,455,3,877000,7/2/2022,9/23/2020,Music,Kerala,1788625,10,10,No,Not Required,Trustable,Lydia
Melisssa Srivastava,https://www.youtube.com/watch?v=Is-X3M7MHuU,Mashup- Cover by Melissa,4:11:00,4,11,0,"15,060",Hindi,Music,2723323,136,0,3891,14,356000,7/16/2021,9/28/2021,Music,Not Available,28985288,10,10,Yes,Yes,Not Trustable,Diya Kalra
Men's Health & Fitness tips,https://www.youtube.com/watch?v=r9YLowckoIc,10 Simple Eating Habits to Lose Weight Naturally,0:01:35,0,1,35,95,English,Health,1084,61,563,4,37,458000,5/9/2022,7/15/2015,Health,Not Available,47819739,6,6,Yes,Yes,Trustable,Jayita Mali
MensXP,https://www.youtube.com/watch?v=W-cUGvO6LLk,Honest Review: Kantara (Kannada) movie,16:20:00,16,20,0,"58,800",Hindi,Entertainment,119200,6211,521,424,36,1150000,10/8/2022,4/3/2014,Entertainment,Delhi,260462471,10,10,No,Not Required,Trustable,Sai Prateek
Micro Solutions,https://www.youtube.com/watch?v=7wj7UEdLI6U,SQL Tutorial For Beginners - Full Course in Hindi | Learn DBMS | Complete MySQL in One Video,2:11:40,2,11,40,"7,900",Hindi,Educational,324296,9000,278,148,5,138000,9/14/2021,7/4/2015,Employment,Not Available,8084380,8,8,No,Not Required,Trustable,Lydia
Miss McBlush,https://www.youtube.com/watch?v=TpE3llKodUs,Meri Pyaari Behna - Behind The Scenes,0:01:44,0,1,44,104,Hindi,Music,10463125,351000,335,6033,6,1640000,8/25/2018,3/22/2017,Lifestyle,Maharashtra,142102094,6,5,Yes,Not Required,Not Trustable,roshan kumar sinha
Mithili  thakur,https://www.youtube.com/watch?v=DEGcIi9aij8,Aigiri Nandini (Mahisasurmardini Stotram) Maithili Thakur,0:12:15,0,12,15,735,Hindi,Lifestyle,51230088,1600000,312,67000,13,38300000,10/18/2020,1/11/2014,Lifestyle,Not Available,51230088,7,6,Yes,Yes,Trustable,Sagar Mali
Mj'S Maths And Stats [Mj_Magic_Studio],https://www.youtube.com/watch?v=8hLeFLYhwzk,AMCAT - Aptitude Questions with Solutions - 2022/2023 - YouTube,0:53:22,0,53,22,"3,202",English,Educational,101506,18000,1773,73,7,25000,9/14/2022,5/29/2020,Employment,Not Available,1879398,7,5,Yes,Not Required,Not Trustable,Lydia
Mocomikids,https://www.youtube.com/watch?v=B8CPd_UhyGc,Aurangzeb - the mughal emperor,0:04:49,0,4,49,289,English,Educational,1151249,5900,51,0,0,604000,9/4/2012,12/12/2011,Educational,Not Available,218598371,6,7,Yes,Yes,Trustable,Praneeth kodam
Mohit Chhikara,https://www.youtube.com/watch?v=fXMDHZozEzo,Accidentally Met RAKHI SAWANT At Lokhandwala Market,0:06:38,0,6,38,398,Hindi,Vlog,5637826,253000,449,3990,7,1610000,6/22/2019,3/25/2013,Vlog,Delhi,269172319,10,10,No,Not Required,Trustable,Himanshi
Money Pechu,https://www.youtube.com/watch?v=XcY9HFgvRgk,30 ???????????? ???????? ?????? ????? ???????????!!! ????? ????????????? ????? ???????????!!,0:18:01,0,18,1,"1,081",Tamil,Stock Market,78437,2700,344,161,21,772000,9/4/2022,9/8/2018,Share Market,Tamil Nadu,98630333,8,9,Yes,Yes,Trustable,Mohamad Moosa
Money Purse Talks,https://www.youtube.com/watch?v=oBpUpit5Zbc,Recession,9:25:00,9,25,0,"33,900",Telugu,Stock Market,198400,16300,822,498,25,51900,10/7/2022,7/3/2021,Share Market,Andhra Pradesh,1241820,10,10,Yes,Yes,Trustable,Sai Prateek
moneycontrol ,https://www.youtube.com/watch?v=GoRWGwoKSE,Stock Market Live: Bajar Gupshup,0:05:50,0,5,50,350,Hindi,Stock Market,7512,9,12,9,12,599000,10/17/2022,10/9/2006,Share Market,Not Available,86868729,8,10,No,Not Required,Trustable,Vaishnavi
